section	id	case	matter	country	court	docket	date_iso	date_text	timezone	time_status	verified	status	detail	next_note	source_url	source_label	source_type	source2_url	source2_label	internal_link	internal_link_text	faq_question
monitoring	turner-dore	Samantha Turner	Murder and attempted-murder charges against Alan Dore	United Kingdom	Hendon Magistrates’ Court, London						August 22, 2026	Alan Dore has been charged with murder in Samantha Turner’s death and attempted murder in the stabbing of Turner’s adult daughter. No conviction exists. His plea and next court date have not been publicly verified, and he is presumed innocent unless and until convicted.	The Metropolitan Police announced the charges and an August 20 first appearance. That date has passed, and no later court setting is published here until it can be verified.	The plea, result of the first appearance, and next listed court date.	https://news.met.police.uk/news/man-charged-in-connection-with-shepherds-bush-murder-511979	Metropolitan Police charging announcement, August 19, 2026	police release					Does the Samantha Turner case have a court date?
monitoring	oreilly-melbourne	Annmarie O’Reilly	Murder charge following O’Reilly’s death at a Ferntree Gully home	Australia	Melbourne, Victoria — court not yet verified						August 22, 2026	A 45-year-old man has been reported charged with murder following Annmarie O’Reilly’s death. No conviction exists. The defendant’s plea, assigned court and next date have not been verified, and he is presumed innocent unless and until convicted.	This is tracked worldwide despite the absence of a verified court listing. The calendar will add a date only after the assigned court publishes or confirms it.	The defendant’s verified name, first-appearance outcome, assigned court and next listed date.	https://www.crimeworld.com/international/man-charged-with-murder-of-irish-mum-at-melbourne-home-as-tributes-paid/a/160367134.html	Crime World, charge report, August 22, 2026	named outlet					Is there a court date in the Annmarie O’Reilly case?
meta	last_updated											2026-09-16										
meta	page_title											International Court Watch										
meta	page_description											Verified court dates and monitored matters outside the United States, tracked to the same sourcing rule as our US court calendar.										
monitoring	patterson-appeal	Erin Patterson	Appeal against three murder convictions, heard together with the Crown appeal against sentence — decision reserved	Australia	Court of Appeal, Supreme Court of Victoria, Court 1, 210 William Street, Melbourne	S EAPCR 2025 0218 and S EAPCR 2025 0226					August 20, 2026	Convicted and serving life with a 33-year non-parole period. The two-day appeal hearing concluded on August 20, 2026 and the Court of Appeal reserved its decision on both appeals. Nothing has been decided, and the convictions and sentence stand unless and until the court rules.	The hearing ran August 19–20 before Justices McLeish, Taylor and Kidd. Day one covered Patterson’s seven conviction grounds; day two was the Director of Public Prosecutions arguing the sentence was manifestly inadequate and seeking life without parole. The court reserved judgment in both appeals and gave no indication of when it will rule. Reporting suggests a decision could take weeks or months. Ground one is that sequestering the jury in the same hotel as police, prosecutors and media during deliberations was a fundamental irregularity. Widely shared posts describe that ground as a ruling that forced her to testify. That is not what the ground says, and no source supports it. DPP Brendan Kissane KC told the court there is no substance behind it.	A reserved judgment in both appeals. No decision date has been listed, and the court has given no timeline.	https://www.abc.net.au/news/2026-08-20/live-blog-erin-patterson-appeal-day-2/107056898	ABC News Australia, day-two hearing coverage and reserved decision (August 20, 2026)	court reporting	https://www.bbc.com/news/live/cq80n95en0xlt	BBC News, appeal-conclusion coverage (August 2026)			Has the Erin Patterson appeal been decided?
monitoring	bishop-bethania	Death of Chad Steven Bishop	Two accused each charged with one count of murder and one count of interfering with a corpse	Australia	Brisbane Magistrates Court, Queensland						August 19, 2026	Charged, no plea entered. The remains are believed to be Bishop’s but have not been formally identified, and an autopsy is still to be conducted.	Remains were found in a shallow grave beneath a cubby house on Old Trafford Road, Bethania. Queensland Police name no victim and say only that detectives allegedly located human remains. The Queensland Police release identifies the accused as a 52-year-old Bethania man and a 45-year-old Windaroo woman; ABC News names them as Courtenay Williams, 52, and Carlie Rochelle Mordue, 45. Both appeared on August 18, 2026 and the matters were adjourned. Court documents allege that on or about March 2, 2022 the pair improperly interfered with a dead human body. Bishop was reported missing from Beenleigh in March 2022.	ABC News reports a next court date of September 7. Neither the court nor Queensland Police has published that date, so we are not listing it as a sitting.	https://mypolice.qld.gov.au/news/2026/08/18/murder-charges-bethania/	Queensland Police Service media release, August 18, 2026	police release	https://www.abc.net.au/news/2026-08-18/qld-beenleigh-bethania-murder-missing-man/107048758	ABC News, August 18, 2026			Have the Bethania remains been identified as Chad Steven Bishop?
monitoring	kelly-jordan-road	Kelly Jordan Road remains, Montague Township	Three sets of human remains recovered from one property; four people charged in one of the three deaths	Canada							August 19, 2026	Charges have been laid in the death of Robbie Thomson only. No charges have been laid in the deaths of Robert Lambert or Lawrence Bertrim.	The property is a 16-hectare parcel on Kelly Jordan Road in Montague Township, Lanark County, Ontario, northeast of Smiths Falls. This is a Canadian matter and does not belong on a US calendar. Robbie Thomson, 34, missing since October 2023, was found October 30, 2025. Robert Lambert, 75, who bought the property in 2004 and was reported missing November 30, 2018, was found July 20, 2026. Lawrence Bertrim of Smiths Falls, 42 when he vanished on September 30, 2022, was found August 6, 2026 with cause of death undetermined. Charged in Thomson’s death: Christopher Fenton, 48, Erin Mackie, 40, and Joshua Belfiori, 34, with first-degree murder, and Mark Fenton, 42, with accessory after the fact, charged April 2026. The Ontario Provincial Police Criminal Investigation Branch is directing the investigation with Smiths Falls Police Service, the Office of the Chief Coroner and the Ontario Forensic Pathology Service.	No court date has been published for any of the four accused.	https://www.ctvnews.ca/ottawa/article/fourth-person-charged-in-connection-to-death-of-smiths-falls-ont-man/	CTV News Ottawa	named outlet	https://www.cbc.ca/news/canada/ottawa/residents-deeply-affected-by-latest-human-remains-discovery-says-montague-township-reeve-9.7298659	CBC News			Has anyone been charged over the Kelly Jordan Road remains?
monitoring	wongsricha-dika	Death of Orawan Wongsricha	Final-stage Supreme Court appeal by the convicted man against a 26-year sentence	Thailand	Supreme Court of Thailand (Dika), on appeal from Court of Appeal Region 4						August 19, 2026	Convicted and not final. Chaiphol Wipha remains in custody after the Supreme Court refused temporary release pending his appeal.	Orawan Wongsricha, 3, known as Nong Chompoo, disappeared from Kok Kork village in Dong Luang district, Mukdahan in May 2020 and was found dead days later on Phu Lek Fai mountain. In December 2023 the Mukdahan Provincial Court convicted Chaiphol Wipha of recklessness causing death and child abduction and sentenced him to 20 years; his wife Somporn Lappho was acquitted. On August 13, 2025 the Court of Appeal Region 4 upgraded the convictions to premeditated murder, child abduction, child abandonment causing death and interfering with a corpse, and raised the sentence to 26 years, upholding Somporn’s acquittal for reasonable doubt. The court cited the severity of the offence, the length of the term, social impact and flight risk in denying bail.	No Supreme Court hearing or judgment-reading date has been published. The most recent confirmed activity is August 2025, and we found no 2026 development in Thai or English reporting.	https://www.bangkokpost.com/thailand/general/3086852/supreme-court-denies-bail-for-uncle-phol-in-toddlers-murder	Bangkok Post, August 14, 2025	named outlet	https://www.thaipbs.or.th/news/content/355385	Thai PBS summary of the appeal judgment			Is the Nong Chompoo case finished?
monitoring	hooper-search	Search for Lily Hooper	Active missing-person search. No criminal investigation and no court proceeding	Australia							August 19, 2026	Missing person. No arrest, no charge, no named suspect, and nothing in any source treating the disappearance as suspicious.	Hooper, 18, has not been seen since setting out on a solo hike in Nattai National Park, New South Wales on August 12, 2026. Her vehicle was found at the walking-track trailhead. By August 19 close to 100 Australian Defence Force personnel from the 5th Brigade at Holsworthy had joined roughly 200 police, rescue and VRA Rescue NSW searchers working with trail bikes, horses, dogs and helicopters. Police say there is no trace of Hooper or her belongings, and investigators have examined her phone data. We list this only so readers know it is being followed and that no legal matter exists; it is a search, not a case.	Not applicable. There is no legal proceeding.	https://www.abc.net.au/news/2026-08-19/lily-hooper-missing-bushwalker-nattai-national-park-search/107053472	ABC News, August 19, 2026	named outlet	https://www.theguardian.com/australia-news/2026/aug/18/family-of-missing-18-year-old-hiker-absolutely-devastated-as-search-continues-in-rugged-nsw-terrain	Guardian Australia, August 18, 2026			Is Lily Hooper’s disappearance a criminal case?
